Customer_ID,Age,Gender,Income,Spending_Score,Education_Level,Marital_Status,Purchase_Amount,Num_Transactions,Product_Category,Loyalty_Score,Customer_Tenure
135,57,Male,112812,18,High School,Married,330.7,32,Electronics,21,13
136,39,Female,50292,23,High School,Married,291.99,47,Beauty,80,1
137,44,Male,82250,69,PhD,Divorced,4843.28,37,Electronics,29,12
138,52,Male,91990,81,PhD,Single,837.02,34,Beauty,46,12
139,18,Male,40359,48,Bachelor's,Single,820.82,46,Electronics,33,6
140,52,Female,54164,41,Bachelor's,Divorced,3751.98,10,Electronics,8,14
141,54,Male,97579,13,Bachelor's,Divorced,3062.53,3,Groceries,84,7
142,64,Female,116552,68,Bachelor's,Single,4316.99,38,Groceries,52,2
143,31,Male,53835,58,PhD,Married,3697.56,28,Electronics,71,2
144,20,Female,93738,94,High School,Married,3511.74,15,Groceries,39,12
145,18,Male,65842,46,High School,Divorced,3180.56,3,Clothing,40,14
146,22,Male,34139,15,PhD,Divorced,847.51,48,Clothing,29,10
147,43,Male,89319,72,Master's,Single,3634.56,43,Electronics,66,12
148,31,Female,45498,70,Bachelor's,Single,3173.18,17,Beauty,23,6
149,56,Male,65254,68,Bachelor's,Married,2856.46,36,Furniture,59,13
150,44,Male,107508,90,High School,Divorced,3762.25,10,Electronics,8,11
151,26,Female,78488,89,Bachelor's,Single,713.37,38,Beauty,59,8
152,32,Female,28090,21,Master's,Divorced,3736.82,10,Groceries,41,7
153,32,Male,27181,29,PhD,Single,4384.44,11,Furniture,81,2
154,43,Female,101887,74,High School,Married,987.54,42,Clothing,12,8
155,59,Female,75871,56,Master's,Single,3527.78,26,Beauty,54,1
156,30,Male,65787,84,PhD,Divorced,4469.33,31,Beauty,7,11
157,68,Female,75959,42,Master's,Divorced,711.93,21,Furniture,35,5
158,49,Male,91413,84,Bachelor's,Married,3609.59,4,Clothing,35,12
159,56,Male,89555,89,Bachelor's,Married,3287.79,18,Beauty,49,5
160,66,Male,95870,7,Bachelor's,Married,1179.78,24,Furniture,40,5
161,69,Female,93995,5,Bachelor's,Divorced,1541.0,4,Beauty,73,6
162,49,Female,40672,7,High School,Married,4862.37,29,Clothing,10,2
163,21,Male,79835,47,High School,Single,1964.24,39,Furniture,99,2
164,47,Male,82521,94,Master's,Divorced,4820.81,14,Furniture,88,3
165,54,Female,73204,28,Bachelor's,Married,1635.46,38,Furniture,32,13
166,40,Female,25084,81,High School,Married,534.66,9,Clothing,46,3
167,56,Male,28489,27,High School,Single,4066.8,37,Groceries,54,6
168,62,Male,28704,82,High School,Divorced,4392.3,46,Furniture,56,8
169,32,Male,109493,84,High School,Married,1149.11,48,Furniture,85,13
170,60,Female,70060,58,Master's,Married,2197.03,2,Groceries,50,11
171,46,Male,22253,2,High School,Divorced,1732.59,25,Groceries,84,7
172,53,Female,71177,22,Bachelor's,Single,4536.05,2,Clothing,99,1
173,30,Male,99040,18,Master's,Single,1513.28,37,Groceries,29,9
174,49,Female,106239,72,High School,Single,3479.26,26,Electronics,36,2
175,24,Female,65503,11,PhD,Married,3320.34,10,Clothing,83,6
176,68,Male,53587,23,High School,Married,1656.53,12,Beauty,56,11
177,39,Female,39948,31,Bachelor's,Married,1988.45,11,Groceries,5,7
178,45,Female,77454,21,Master's,Single,1836.03,24,Furniture,14,14
179,19,Male,79987,26,PhD,Divorced,1768.37,38,Groceries,63,3
180,59,Female,97290,59,PhD,Single,1880.07,47,Groceries,8,14
181,62,Female,81803,49,High School,Married,1558.26,31,Groceries,8,2
182,23,Male,117439,88,PhD,Single,3581.15,37,Clothing,94,4
183,45,Female,112671,36,PhD,Divorced,2383.32,10,Groceries,62,7
184,45,Female,86202,81,Master's,Single,663.84,31,Electronics,94,5
185,61,Male,54913,42,Master's,Divorced,4357.04,14,Electronics,81,14
186,61,Male,91356,58,Bachelor's,Divorced,2588.54,24,Furniture,53,6
187,37,Male,74268,98,Master's,Divorced,1215.08,13,Beauty,76,4
188,47,Female,108661,14,High School,Divorced,4714.85,20,Beauty,77,4
189,28,Male,40029,27,Bachelor's,Divorced,575.65,45,Electronics,64,13
190,45,Male,20258,55,Bachelor's,Divorced,1368.27,5,Clothing,65,6
191,42,Male,30320,49,High School,Divorced,1781.36,37,Furniture,56,7
192,56,Male,64925,25,Master's,Single,2185.38,31,Beauty,84,2
193,50,Male,56301,72,Bachelor's,Single,3647.67,49,Beauty,28,6
194,18,Male,65914,72,PhD,Divorced,4624.45,29,Beauty,47,7
195,44,Male,108531,46,Master's,Divorced,2175.86,11,Clothing,87,11
196,69,Female,112525,84,PhD,Married,1325.51,4,Furniture,39,2
197,30,Female,33406,42,PhD,Single,2195.43,27,Clothing,69,9
198,58,Male,111624,82,PhD,Divorced,1876.21,15,Electronics,31,1
199,20,Male,68414,64,High School,Married,3740.58,30,Groceries,78,2
200,56,Female,115964,33,Bachelor's,Divorced,974.58,36,Furniture,23,10
201,23,Male,82143,66,High School,Divorced,4135.53,28,Electronics,22,10
202,25,Female,81097,39,High School,Divorced,4887.89,1,Clothing,4,14
203,44,Male,25689,6,Bachelor's,Divorced,2213.14,19,Clothing,23,9
204,26,Female,85183,7,PhD,Divorced,3957.74,8,Beauty,6,5
205,54,Male,51194,47,Bachelor's,Divorced,4354.92,48,Groceries,54,4
206,50,Female,54642,46,PhD,Divorced,1117.93,29,Clothing,79,1
207,68,Female,111006,67,PhD,Divorced,1867.77,12,Clothing,5,2
208,59,Male,86492,53,High School,Married,2659.48,20,Furniture,96,14
209,61,Female,101708,35,Bachelor's,Married,1081.39,39,Electronics,45,11
210,41,Female,57257,95,PhD,Divorced,478.27,3,Clothing,33,13
211,32,Male,74415,63,High School,Married,3701.61,6,Clothing,83,14
212,49,Female,74174,39,Bachelor's,Married,278.27,47,Beauty,1,8
213,49,Female,22057,14,Bachelor's,Single,1994.43,6,Groceries,23,7
214,41,Female,101406,20,High School,Single,4889.53,37,Clothing,76,4
215,58,Female,38761,18,Master's,Divorced,1748.85,39,Clothing,53,6
216,69,Male,97067,92,Bachelor's,Married,263.73,49,Electronics,44,7
217,66,Female,111291,38,Master's,Married,3856.36,38,Furniture,7,10
218,66,Female,102449,38,PhD,Divorced,121.89,7,Furniture,82,8
219,69,Female,80339,98,Bachelor's,Divorced,937.43,13,Clothing,86,2
220,29,Female,96518,23,Master's,Divorced,121.04,39,Furniture,78,11
221,56,Male,78303,61,PhD,Single,974.15,23,Furniture,27,10
222,19,Female,36647,58,Master's,Single,4847.54,1,Clothing,2,3
223,20,Male,86013,32,High School,Married,1243.07,42,Groceries,19,6
224,66,Male,61315,79,PhD,Single,2141.49,48,Beauty,75,9
225,54,Female,97058,93,Bachelor's,Married,3227.01,18,Groceries,16,12
226,66,Male,116457,11,Master's,Divorced,2763.96,27,Electronics,19,6
227,34,Female,49742,80,Master's,Divorced,881.39,1,Furniture,75,4
228,66,Female,44638,44,Master's,Married,589.5,46,Furniture,47,8
229,19,Female,49607,39,High School,Married,2182.28,20,Furniture,92,7
230,19,Male,56940,44,Master's,Married,2256.07,37,Groceries,38,10
231,45,Male,82072,95,Bachelor's,Single,571.65,37,Groceries,63,9
232,40,Female,103863,69,High School,Married,1202.77,6,Furniture,27,10
233,54,Male,38444,4,High School,Divorced,2254.7,41,Furniture,89,6
234,49,Male,51109,90,High School,Single,4766.75,36,Electronics,50,14
235,50,Male,38098,74,Bachelor's,Single,538.43,32,Clothing,57,7
236,18,Male,34139,91,High School,Single,4166.91,41,Electronics,8,9
237,36,Female,105519,7,Bachelor's,Married,4328.58,25,Furniture,57,6
238,19,Female,77811,69,Master's,Single,2776.61,32,Furniture,43,13
239,61,Female,80095,99,High School,Divorced,3750.52,22,Clothing,13,5
240,43,Male,106356,52,PhD,Married,3977.03,12,Beauty,33,4
241,49,Female,105046,34,High School,Single,4053.84,34,Electronics,71,9
242,23,Female,48060,28,PhD,Single,1556.18,25,Groceries,34,9
243,49,Female,60269,99,Bachelor's,Single,3523.09,21,Groceries,78,11
244,21,Male,34523,5,PhD,Single,226.31,31,Groceries,1,8
245,28,Male,87279,15,Master's,Divorced,1898.93,38,Electronics,84,7
246,34,Male,115752,33,PhD,Married,4732.72,39,Clothing,43,4
247,55,Female,47653,92,Bachelor's,Married,3684.44,27,Electronics,42,4
248,41,Female,75909,48,High School,Single,1047.42,45,Clothing,57,3
249,22,Female,58300,28,High School,Married,4096.93,1,Electronics,59,11
250,69,Male,36663,84,Master's,Single,2813.89,22,Electronics,86,14
251,51,Female,108114,28,High School,Single,3588.69,21,Furniture,75,11
252,23,Male,43828,79,High School,Divorced,3775.0,7,Electronics,75,10
253,39,Male,84829,85,High School,Single,395.06,1,Clothing,20,13
254,28,Male,104950,35,PhD,Divorced,1243.48,11,Clothing,98,2
255,65,Female,44922,64,Master's,Married,3844.04,27,Electronics,49,8
256,33,Male,97940,68,PhD,Married,357.36,48,Beauty,56,10
257,50,Female,37780,27,PhD,Married,1819.66,21,Furniture,76,14
258,26,Male,31573,45,Master's,Married,346.96,49,Clothing,52,4
259,23,Female,32458,10,PhD,Divorced,1062.44,22,Clothing,79,9
260,33,Male,88309,14,PhD,Married,171.92,21,Groceries,9,14
261,46,Female,42407,47,High School,Single,231.54,12,Electronics,66,11
262,20,Female,111130,77,High School,Single,4363.26,25,Furniture,12,7
263,37,Male,23734,53,Master's,Divorced,2017.72,10,Beauty,89,4
264,53,Female,30479,66,PhD,Married,1002.71,22,Beauty,24,1
265,36,Female,31896,50,PhD,Single,2827.44,32,Clothing,95,8
266,43,Male,117076,43,High School,Divorced,2923.71,1,Groceries,82,5
267,20,Male,101622,41,High School,Married,2075.97,19,Furniture,80,6
268,36,Female,37191,41,PhD,Married,2055.24,34,Clothing,75,10
269,37,Male,103720,47,PhD,Married,1342.32,17,Groceries,88,5
270,49,Female,68971,45,High School,Divorced,1988.54,17,Furniture,90,11
271,24,Male,61035,93,Bachelor's,Divorced,3881.58,20,Beauty,81,10
272,69,Male,69887,65,Bachelor's,Single,1460.32,2,Furniture,23,14
273,58,Male,107290,17,PhD,Divorced,532.38,3,Electronics,75,2
274,50,Female,63845,44,Bachelor's,Divorced,415.91,6,Clothing,60,5
275,57,Male,42844,57,Master's,Divorced,1885.78,2,Groceries,22,13
276,56,Female,100588,92,Bachelor's,Single,4035.6,2,Groceries,2,7
277,35,Female,73951,83,PhD,Single,1843.4,39,Clothing,6,5
278,57,Male,97352,33,Bachelor's,Divorced,717.86,44,Electronics,2,9
279,18,Male,111494,63,PhD,Single,3117.22,8,Beauty,66,10
280,28,Male,73413,68,PhD,Divorced,2883.17,23,Groceries,39,10
281,45,Male,42865,53,Master's,Single,2997.86,8,Groceries,18,6
282,42,Male,66734,26,High School,Single,2553.24,18,Clothing,19,12
283,67,Female,56585,88,Bachelor's,Divorced,4794.32,41,Electronics,78,1
284,40,Male,102333,71,Master's,Divorced,4294.38,28,Furniture,23,10
285,48,Female,119006,43,PhD,Married,1769.62,11,Groceries,99,10
286,47,Female,41528,53,Bachelor's,Divorced,2659.69,37,Beauty,66,12
287,59,Male,61731,90,Bachelor's,Married,2667.53,4,Clothing,33,7
288,52,Male,52273,80,Bachelor's,Divorced,3712.39,22,Groceries,34,6
289,24,Female,118220,14,High School,Single,1831.51,23,Electronics,37,10
290,33,Female,49303,51,Bachelor's,Single,3681.23,12,Clothing,87,6
291,43,Male,103445,37,Bachelor's,Single,1951.28,9,Clothing,35,6
292,65,Female,105344,76,High School,Married,4540.88,16,Electronics,26,3
293,69,Female,48243,45,Bachelor's,Single,1394.93,17,Groceries,61,2
294,66,Female,116745,11,PhD,Single,1607.8,30,Electronics,16,12
295,19,Male,51444,65,Bachelor's,Single,2040.19,45,Groceries,84,13
296,18,Female,49000,35,Master's,Single,1772.7,49,Beauty,59,6
297,65,Female,71776,32,Bachelor's,Married,4788.36,15,Electronics,17,14
298,29,Female,112526,50,Master's,Married,2963.09,24,Electronics,60,1
299,22,Male,119866,33,Bachelor's,Single,1431.74,1,Clothing,37,6
300,54,Male,44270,69,Master's,Single,1905.21,2,Clothing,22,5
301,49,Female,74359,33,PhD,Divorced,2313.9,45,Beauty,16,3
302,26,Female,104923,66,Master's,Single,3419.3,26,Electronics,77,9
303,58,Female,96730,33,High School,Divorced,2149.65,26,Groceries,28,2
304,52,Male,85441,24,High School,Single,3677.08,10,Groceries,91,10
305,36,Male,88843,13,PhD,Married,4216.48,39,Electronics,51,7
306,65,Female,106065,97,Bachelor's,Single,1286.88,1,Clothing,96,13
307,33,Female,61142,7,High School,Married,3888.28,32,Beauty,94,4
308,20,Female,35325,35,Master's,Married,2230.49,31,Electronics,9,14
309,37,Female,38152,19,Bachelor's,Married,1451.16,41,Groceries,7,8
310,41,Female,57049,98,PhD,Divorced,3093.62,30,Furniture,6,7
311,50,Female,61048,34,PhD,Married,4832.15,33,Groceries,76,13
312,41,Female,118178,26,Master's,Married,4157.7,11,Beauty,55,12
313,69,Male,80406,70,High School,Single,838.94,24,Groceries,97,8
314,28,Male,36469,53,High School,Married,1327.09,15,Clothing,34,14
315,66,Male,23687,54,Master's,Single,4082.33,18,Groceries,91,1
316,25,Female,35981,90,High School,Married,3845.13,41,Clothing,80,8
317,53,Male,52887,99,PhD,Single,3016.22,26,Beauty,1,3
318,55,Female,93815,23,PhD,Married,1876.34,33,Electronics,64,2
319,57,Male,80471,63,PhD,Divorced,3623.21,10,Clothing,26,5
320,37,Male,70063,91,High School,Divorced,1810.29,6,Electronics,67,4
321,52,Male,88901,10,Master's,Married,4018.56,44,Electronics,27,14
322,65,Male,51427,36,High School,Divorced,4066.35,40,Furniture,78,13
323,42,Male,104502,94,Bachelor's,Married,2987.15,12,Beauty,36,1
324,52,Female,79986,98,PhD,Single,2362.65,38,Electronics,9,3
325,42,Female,103662,33,High School,Divorced,2234.57,25,Clothing,87,5
326,46,Male,86270,73,Bachelor's,Single,1046.65,2,Furniture,48,14
327,35,Female,43498,59,High School,Single,1226.58,15,Clothing,24,14
328,63,Male,85588,65,PhD,Single,2452.03,19,Clothing,65,13
329,35,Male,79079,33,High School,Divorced,833.81,11,Groceries,68,8
330,19,Male,34018,71,Master's,Married,4665.01,11,Electronics,98,2
331,52,Female,114610,73,High School,Divorced,1060.65,40,Beauty,46,12
332,33,Male,56764,61,Bachelor's,Married,4957.63,5,Furniture,79,4
333,58,Male,57736,16,PhD,Divorced,3487.54,6,Beauty,12,10
334,53,Female,52276,94,High School,Married,3372.91,42,Clothing,28,10
335,50,Male,31061,82,Bachelor's,Divorced,469.91,6,Electronics,67,3
336,21,Female,33555,64,Bachelor's,Married,3388.08,12,Electronics,88,1
337,50,Female,82316,60,PhD,Divorced,2302.32,8,Groceries,60,12
338,31,Female,28904,88,High School,Married,4421.46,21,Electronics,49,8
339,38,Female,115474,14,High School,Divorced,1280.58,10,Clothing,70,10
340,65,Female,26127,46,Master's,Single,1969.84,41,Furniture,31,12
341,37,Female,117936,93,PhD,Divorced,3350.37,23,Electronics,18,9
342,25,Female,113739,37,PhD,Married,4959.59,16,Electronics,88,10
343,24,Female,110730,83,Bachelor's,Single,4753.9,25,Clothing,50,1
344,20,Female,49335,6,Bachelor's,Married,919.85,33,Furniture,37,8
345,34,Female,27280,69,PhD,Divorced,2217.51,6,Clothing,66,11
346,50,Female,82341,11,Bachelor's,Divorced,1978.08,37,Electronics,67,3
347,65,Female,78010,71,Master's,Single,2062.57,4,Beauty,18,11
348,29,Female,80846,10,Bachelor's,Married,3332.46,20,Furniture,13,9
349,68,Female,30209,18,Bachelor's,Single,1901.3,30,Electronics,54,6
350,39,Female,40653,97,Bachelor's,Single,3138.89,9,Clothing,61,7
351,39,Female,83834,79,Bachelor's,Divorced,855.41,22,Furniture,82,2
352,63,Female,81090,75,Master's,Married,4212.66,48,Groceries,23,13
353,47,Male,26328,82,Bachelor's,Divorced,696.05,38,Beauty,82,9
354,55,Male,90027,93,Bachelor's,Divorced,1962.27,34,Clothing,24,13
355,55,Female,84796,3,High School,Married,4329.56,39,Clothing,28,1
356,62,Female,30552,30,High School,Divorced,2326.95,1,Electronics,26,14
357,68,Male,70373,51,Master's,Married,3902.47,48,Furniture,7,8
358,25,Male,28100,13,PhD,Married,3840.61,1,Groceries,7,10
359,44,Female,100966,90,Bachelor's,Single,4527.91,21,Electronics,73,12
360,44,Female,113709,19,PhD,Divorced,2969.15,8,Clothing,93,12
361,51,Male,106477,11,Bachelor's,Single,1732.85,22,Electronics,88,14
362,38,Female,115079,69,Master's,Divorced,4623.3,27,Furniture,51,10
363,47,Male,76845,25,Bachelor's,Married,294.86,8,Clothing,57,2
364,50,Female,92062,93,High School,Single,1366.03,36,Beauty,63,13
365,45,Male,82658,22,Bachelor's,Single,3219.64,31,Groceries,24,4
366,64,Female,118132,45,Master's,Divorced,3859.18,20,Electronics,15,3
367,50,Female,56271,89,PhD,Married,1904.0,38,Clothing,33,11
368,22,Male,46606,32,High School,Single,334.03,40,Clothing,23,3
369,65,Female,83598,35,Master's,Single,351.82,7,Groceries,30,5
370,36,Male,47302,57,Master's,Married,3656.72,21,Groceries,22,1
371,21,Male,43140,52,Master's,Single,2244.27,20,Groceries,33,12
372,52,Male,55247,55,Master's,Married,2069.64,19,Furniture,93,13
373,66,Female,58555,64,High School,Married,3535.02,41,Beauty,91,2
374,34,Male,31029,81,Bachelor's,Single,1115.34,1,Electronics,31,3
375,61,Female,95766,90,PhD,Single,2501.77,17,Electronics,11,9
376,45,Male,35814,3,Bachelor's,Divorced,1637.2,17,Clothing,7,4
377,47,Male,95499,36,Master's,Single,2184.14,18,Beauty,43,13
378,46,Male,52383,60,High School,Single,2376.53,7,Clothing,66,14
379,63,Male,49023,97,High School,Divorced,1171.71,11,Furniture,48,12
380,23,Female,34458,31,PhD,Married,757.71,7,Clothing,44,8
381,52,Female,119004,7,Bachelor's,Single,407.89,49,Electronics,66,14
382,58,Female,26991,84,Master's,Married,4852.4,30,Beauty,32,2
383,54,Female,64323,83,Master's,Single,4400.09,40,Beauty,39,11
384,41,Female,29153,45,PhD,Married,1546.1,37,Beauty,25,8
385,46,Female,40816,40,Master's,Married,266.3,13,Beauty,23,1
